Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Tim Burton,19,2302967434.0,1192800000,1182.0,131.6,121208812.31578948,6.9263157894736835,9.350492035789474
Dan Scanlon,2,330047909.0,400000000,126.0,14.600000000000001,165023954.5,7.300000000000001,10.60047909
Peyton Reed,6,896129063.0,572000000,325.0,39.1,149354843.83333334,6.516666666666667,9.503763543333333
John Lasseter,5,1067411801.0,435000000,391.0,36.8,213482360.2,7.359999999999999,11.629647204
Bradford Lewis,1,191452396.0,200000000,57.0,6.2,191452396.0,6.2,10.02904792
Cate Shortland,2,183680315.0,205500000,138.0,13.0,91840157.5,6.5,8.33680315
David Leitch,5,696642977.0,455900000,306.0,35.5,139328595.4,7.1,9.886571908
Justin Lin,7,763125898.0,680750000,396.0,44.8,109017985.42857143,6.3999999999999995,8.580359708571429
Joseph Kosinski,4,998246802.0,528000000,253.0,29.700000000000003,249561700.5,7.425000000000001,12.41623401
Jaume Collet-Serra,11,728336417.0,652358000,557.0,70.5,66212401.54545455,6.409090909090909,7.73333894
Roland Emmerich,12,1195510537.0,1264500000,546.0,74.0,99625878.08333333,6.166666666666667,8.159184228333334
Chloé Zhao,2,168570234.0,205000000,143.0,13.6,84285117.0,6.8,8.48570234
Peter Sohn,2,277513817.0,387500000,124.0,13.7,138756908.5,6.85,9.62513817
McG,7,605767824.0,616000000,325.0,42.1,86538260.57142857,6.014285714285714,7.745050925714286
Martin Campbell,10,849863936.0,749000000,564.0,67.3,84986393.6,6.7299999999999995,8.429727871999999
Andy Muschietti,4,720258999.0,320000000,240.0,26.7,180064749.75,6.675,10.276294995
Simon Kinberg,2,80416429.0,275000000,83.0,11.3,40208214.5,5.65,6.4541642900000005
Martin Scorsese,24,nan,1339935000,nan,182.29999999999995,nan,7.595833333333331,nan
Patty Jenkins,3,494115418.0,355000000,210.0,20.1,164705139.33333334,6.7,9.994102786666668
Tony Bancroft,2,241240508.0,290000000,142.0,15.2,120620254.0,7.6,10.01240508
Barry Cook,4,323779098.0,455000000,248.0,27.499999999999996,80944774.5,6.874999999999999,8.49389549
Chris McKay,3,nan,366203077,173.0,20.3,nan,6.766666666666667,nan
Joel Crawford,3,429639505.0,355000000,202.0,22.5,143213168.33333334,7.5,10.364263366666666
Januel Mercado,2,371070690.0,290000000,146.0,15.6,185535345.0,7.8,11.510706899999999
Steven Caple Jr.,2,272782281.0,245000000,108.0,13.2,136391140.5,6.6,9.32782281
Stephen Sommers,7,818475963.0,769500000,nan,44.7,116925137.57142857,6.385714285714286,8.724217037142857
J.J. Abrams,4,747542660.0,530000000,292.0,29.5,186885665.0,7.375,11.1127133
Baz Luhrmann,5,536661387.0,426500000,287.0,35.0,107332277.4,7.0,9.146645548
Guillermo del Toro,8,nan,552000000,589.0,55.9,nan,6.9875,nan
Lana Wachowski,8,752898163.0,960500000,438.0,54.39999999999999,94112270.375,6.799999999999999,8.682245407499998
Jon Favreau,7,1572095092.0,660000000,483.0,49.199999999999996,224585013.14285713,7.028571428571428,11.52027169142857
Steven Spielberg,27,4368166883.0,1789500000,1959.0,201.20000000000002,161783958.62962964,7.451851851851853,10.687531024444446
Mark Andrews,1,237283207.0,185000000,69.0,7.1,237283207.0,7.1,11.84566414
Brenda Chapman,2,338696395.0,245000000,133.0,14.3,169348197.5,7.15,10.53696395
Steve Purcell,1,237283207.0,185000000,69.0,7.1,237283207.0,7.1,11.84566414
Jordan Vogt-Roberts,1,168052812.0,185000000,62.0,6.7,168052812.0,6.7,10.06105624
Denis Villeneuve,8,nan,530800000,605.0,63.2,nan,7.9,nan
Tim Miller,2,425323786.0,243000000,119.0,14.2,212661893.0,7.1,11.35323786
Robert Stromberg,1,241410378.0,180000000,56.0,6.9,241410378.0,6.9,11.728207560000001
Luc Besson,10,323265852.0,454357373,513.0,68.6,32326585.2,6.859999999999999,7.5065317039999995
Lilly Wachowski,7,715211358.0,770500000,375.0,48.69999999999999,102173051.14285715,6.9571428571428555,9.000603879999998
Jon Turteltaub,7,653194688.0,567000000,324.0,45.1,93313526.85714285,6.442857142857143,8.30912768
Doug Liman,9,nan,633700000,nan,61.1,nan,6.788888888888889,nan
Anna Boden,2,433193467.0,183000000,127.0,13.899999999999999,216596733.5,6.949999999999999,11.281934669999998
Ryan Fleck,3,435891405.0,183700000,212.0,21.0,145297135.0,7.0,9.9059427
Pete Docter,3,940568131.0,465000000,261.0,24.5,313522710.3333333,8.166666666666666,14.437120873333331
Ronnie Del Carmen,1,356921711.0,175000000,94.0,8.1,356921711.0,8.1,15.238434219999998
David Ayer,8,nan,447000000,375.0,51.49999999999999,nan,6.437499999999999,nan
Bob Peterson,1,293004164.0,175000000,88.0,8.3,293004164.0,8.3,14.16008328
Adrian Molina,1,210460015.0,175000000,81.0,8.4,210460015.0,8.4,12.609200300000001
Phil Johnston,1,201091711.0,175000000,71.0,7.0,201091711.0,7.0,11.021834219999999
Rich Moore,3,731782848.0,490000000,221.0,22.7,243927616.0,7.566666666666666,12.445218986666667
Rob Letterman,5,626247642.0,570000000,250.0,30.1,125249528.4,6.0200000000000005,8.524990568
Conrad Vernon,4,953654941.0,409000000,257.0,26.6,238413735.25,6.65,11.418274705
Brian Fee,1,152901115.0,175000000,59.0,6.7,152901115.0,6.7,9.7580223
Rob Cohen,10,608328410.0,652000000,387.0,55.80000000000001,60832841.0,5.580000000000001,6.796656820000001
