Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Anne Hathaway,21,1925271696.0,1137000000.0,1128.0,139.20000000000005
Geoffrey Rush,12,608938351.0,465000000.0,717.0,81.60000000000001
Javier Bardem,10,729544043.0,695000000.0,624.0,69.4
Olga Kurylenko,6,241806621.0,336500000.0,282.0,38.599999999999994
Mathieu Amalric,2,227669751.0,261000000.0,146.0,14.7
Michael Shannon,14,451208335.0,418000000.0,890.0,93.29999999999998
Ben Barnes,3,161501539.0,334000000.0,150.0,18.6
Skandar Keynes,1,141621490.0,225000000.0,62.0,6.5
Georgie Henley,2,141628360.0,226000000.0,122.0,12.6
Armie Hammer,8,291239882.0,470800000.0,476.0,54.49999999999999
William Fichtner,4,482432656.0,413500000.0,143.0,23.400000000000002
Andrew Garfield,7,638743378.0,570500000.0,nan,50.6
Emma Stone,15,1409697753.0,916600000.0,903.0,101.1
Rhys Ifans,4,331341314.0,397500000.0,195.0,26.099999999999998
Alexander Skarsgård,5,296760621.0,563500000.0,299.0,31.900000000000002
Brooklyn Decker,2,168450734.0,300000000.0,74.0,12.2
Liam Neeson,35,1849110171.0,1639400000.0,1801.0,226.29999999999998
Mark Wahlberg,39,3132933999.0,2236800000.0,2060.0,251.70000000000005
Anthony Hopkins,30,nan,1663500000.0,nan,204.3
Josh Duhamel,9,nan,699000000.0,380.0,55.099999999999994
Bryce Dallas Howard,8,1675554255.0,764200000.0,428.0,51.2
Ty Simpkins,3,789572737.0,232500000.0,156.0,19.2
Will Smith,26,nan,2537000000.0,1325.0,172.4
Tommy Lee Jones,23,1804321120.0,1365000000.0,1365.0,149.2
Josh Brolin,15,903320612.0,775100000.0,929.0,101.89999999999999
Shia LaBeouf,16,1842561623.0,1137500000.0,891.0,106.60000000000001
Megan Fox,11,nan,855500000.0,nan,61.1
Nicola Peltz Beckham,2,377211263.0,360000000.0,52.0,9.6
Jack Reynor,4,nan,289000000.0,183.0,25.1
Patrick Stewart,12,1295614237.0,1008000000.0,743.0,84.49999999999999
Hugh Jackman,25,2431552708.0,2357972729.0,1346.0,172.70000000000002
Halle Berry,17,1204504703.0,1169800000.0,913.0,106.3
Russell Crowe,27,1570483358.0,1740000000.0,1591.0,187.6
Cate Blanchett,26,nan,1788300000.0,nan,180.00000000000003
Matthew Macfadyen,7,nan,474300000.0,422.0,47.9
Naomi Watts,24,1107399016.0,789672000.0,1460.0,161.6
Jack Black,22,2178963904.0,1357672000.0,nan,139.9
Adrien Brody,14,nan,442182000.0,nan,91.60000000000001
Nicole Kidman,35,nan,1480800000.0,1915.0,223.69999999999996
Dakota Blue Richards,1,70107728.0,205000000.0,51.0,6.1
John David Washington,5,nan,382500000.0,nan,34.6
Robert Pattinson,14,nan,976200000.0,808.0,86.10000000000001
Elizabeth Debicki,2,100906737.0,245000000.0,153.0,14.1
Patrick Wilson,20,nan,872950000.0,nan,nan
Tom Holland,8,nan,1035000000.0,474.0,56.5
Zendaya,5,nan,492500000.0,332.0,37.4
Benedict Cumberbatch,8,nan,724000000.0,535.0,57.0
Chadwick Boseman,7,nan,341000000.0,432.0,48.79999999999999
Michael B. Jordan,9,1231462098.0,432900000.0,609.0,62.9
Leonardo DiCaprio,24,2837937848.0,2004000000.0,1617.0,180.59999999999997
Kate Winslet,21,1330231226.0,981900000.0,1326.0,151.0
Billy Zane,4,nan,265300000.0,nan,25.3
Craig T. Nelson,6,1053143256.0,362700000.0,396.0,41.5
Holly Hunter,11,1046284172.0,411000000.0,723.0,74.2
Sarah Vowell,1,608581744.0,200000000.0,80.0,7.6
Felicity Jones,10,nan,582450000.0,575.0,66.10000000000001
Diego Luna,5,nan,287000000.0,nan,34.6
Alan Tudyk,2,nan,207000000.0,nan,14.2
