,ProductionBudget,Director_Avg_Rating,OMDB_Runtime,ReleaseMonth,Writer_Avg_Rating,OMDB_imdbRating,orig_index,actual,predictions
4590,3500000,4.8,96.0,4.0,4.8,4.8,4666,4.8,4.7129965
4591,3500000,8.4,76.0,1.0,8.4,8.4,4667,8.4,8.5827465
4592,3500000,5.4,92.0,3.0,5.4,5.4,4668,5.4,5.339652
4593,3500000,4.7,88.0,6.0,4.7,4.7,4669,4.7,4.598929
4594,3440000,3.2,90.0,9.0,3.2,3.2,4671,3.2,3.0336084
4595,3400000,6.88,107.0,9.0,6.88,7.1,4672,7.1,6.9974923
4596,3400000,6.4,92.0,10.0,7.05,6.4,4673,6.4,6.922455
4597,3400000,6.1,103.0,1.0,6.1,6.1,4674,6.1,6.116508
4598,3400000,7.9,89.0,6.0,7.9,7.9,4675,7.9,8.061334
4599,3400000,5.3,88.0,10.0,5.5,5.3,4676,5.3,5.3023467
4600,3400000,6.7,85.0,4.0,6.6,6.7,4677,6.7,6.6816483
4601,3400000,6.5,102.0,3.0,6.5,6.5,4678,6.5,6.5853944
4602,3300000,7.72,106.0,10.0,6.96,8.5,4679,8.5,7.330985
4603,3300000,7.37,91.0,11.0,7.19,7.1,4680,7.1,7.3440375
4604,3300000,7.1,99.0,5.0,7.1,7.1,4682,7.1,7.2266383
4605,3300000,6.6,85.0,4.0,6.6,6.6,4683,6.6,6.6453176
4606,3250000,4.53,93.0,11.0,7.62,7.9,4684,7.9,6.7263985
4607,3250000,6.26,98.0,8.0,6.45,6.5,4685,6.5,6.4494114
4608,3250000,6.3,92.0,11.0,6.3,6.3,4687,6.3,6.3254724
4609,3200000,6.9,112.0,7.0,6.9,6.9,4688,6.9,7.0386133
4610,3200000,7.4,101.0,8.0,7.4,7.4,4689,7.4,7.546703
4611,3200000,7.0,105.0,6.0,7.0,7.2,4690,7.2,7.1313534
4612,3200000,6.43,103.0,6.0,6.48,6.3,4691,6.3,6.547769
4613,3200000,7.1,99.0,8.0,7.1,7.1,4692,7.1,7.2173896
4614,3200000,6.2,95.0,1.0,5.97,6.2,4693,6.2,6.021204
4615,3100000,7.31,93.0,8.0,7.15,8.1,4694,8.1,7.3089247
4616,3100000,5.7,108.0,2.0,5.7,5.7,4695,5.7,5.62632
4617,3000000,5.7,91.0,10.0,5.73,5.7,4696,5.7,5.6688933
4618,3000000,6.57,120.0,8.0,6.46,6.4,4697,6.4,6.617976
4619,3000000,6.03,85.0,6.0,6.01,5.7,4698,5.7,5.975453
4620,3000000,6.37,110.0,10.0,6.34,6.8,4699,6.8,6.4292574
4621,3000000,6.71,115.0,8.0,6.64,6.8,4700,6.8,6.7859735
4622,3000000,6.54,91.0,1.0,7.2,7.3,4701,7.3,7.106844
4623,3000000,6.3,98.0,8.0,5.73,5.3,4702,5.3,5.904555
4624,3000000,7.27,120.0,11.0,7.27,8.0,4703,8.0,7.4470253
4625,3000000,6.93,117.0,4.0,7.13,7.2,4704,7.2,7.2431774
4626,3000000,6.0,86.0,8.0,5.9,6.0,4705,6.0,5.8881974
4627,3000000,5.4,113.0,8.0,5.4,5.4,4706,5.4,5.324281
4628,3000000,7.5,100.0,8.0,7.5,7.5,4707,7.5,7.652257
4629,3000000,6.0,93.0,4.0,5.93,5.8,4708,5.8,5.921292
4630,3000000,5.75,100.0,4.0,5.57,5.3,4710,5.3,5.562226
4631,3000000,6.0,112.0,4.0,6.09,6.3,4711,6.3,6.1161675
4632,3000000,6.5,90.0,6.0,6.64,6.4,4712,6.4,6.65668
4633,3000000,6.9,100.0,6.0,6.52,7.5,4713,7.5,6.7262506
