,runtimeMinutes,averageRating,OMDB_Metascore,ProductionBudget,genres,User_rating,orig_index,actual,predictions
35,143,7.8,73.0,85000000.0,Romance,8.5,26505,8.5,8.404000000000002
36,92,5.9,42.0,93000000.0,Action,6.7,26624,6.7,6.606666666666663
37,84,6.0,61.0,105000000.0,Comedy,7.7,26877,7.7,7.468
38,83,7.2,52.0,80000000.0,Drama,7.0,27192,7.0,7.469333333333334
39,201,9.0,94.0,94000000.0,Drama,8.4,27263,8.4,8.566666666666661
40,179,8.8,87.0,94000000.0,Drama,8.2,27264,8.2,8.389333333333333
41,104,6.3,46.0,123000000.0,Comedy,7.3,27598,7.3,7.210666666666672
42,92,8.1,79.0,115000000.0,Comedy,9.0,31289,9.0,8.795999999999996
43,167,7.5,72.0,97000000.0,Drama,8.5,33532,8.5,8.363999999999999
44,95,6.9,52.0,90000000.0,Action,8.4,34682,8.4,8.230666666666657
45,116,7.7,74.0,85000000.0,Thriller,8.6,35916,8.6,8.286666666666664
46,152,7.6,65.0,125000000.0,Action,8.5,35992,8.5,8.078666666666669
